"rut","nombre_postulante","puntaja_notas","puntaja_ranking_notas","puntaja_lenguaje","puntaja_matemática","puntaja_historia","puntaja_ciencias","puntaja_otro","género","dirección_región","dirección_provincia","dirección_comuna","dirección_calle","dirección_número"
"22677083-3","Victor Hernandez",451,484,532,560,452,646,476,"Masculino","Coquimbo","Osorno","Valparaíso","Calle 93",461
"23218269-0","Mariana Diaz",507,596,495,645,502,513,552,"Masculino","Aconcagua","Porvenir","Osorno","Calle 62",922
"23570196-7","Ana Larrahona",488,602,471,523,648,513,484,"Femenino","Aconcagua","Porvenir","Valparaíso","Calle 115",822
"18875489-6","Carlos Osorio",535,558,468,511,577,553,542,"Femenino","Santiago","Porvenir","Santiago Centro","Calle 7",993
"13029926-0","Victor Osorio",629,600,622,626,471,620,470,"Femenino","Metropolitana","Santiago","Valparaíso","Calle 118",544
"22613324-3","Carlos Larrahona",609,607,565,451,474,463,614,"Masculino","Los Lagos","Porvenir","Lago Verde","Calle 31",935
"16155904-4","Diego Perez",609,474,586,527,617,550,524,"Femenino","Santiago","Concepción","Valparaíso","Calle 116",374
"24800114-3","Luis Hernandez",637,519,619,618,500,455,569,"Femenino","Coquimbo","Concepción","Santiago Centro","Calle 57",478
"18425200-3","Mariana Diaz",501,472,485,492,634,569,614,"Femenino","Coquimbo","Coquimbo","Santiago Centro","Calle 53",211
"11416643-5","Mariana Osorio",638,456,460,606,466,589,502,"Femenino","Coquimbo","Porvenir","Concepción","Calle 113",359
"21350040-3","Francisca Rodriguez",572,458,621,492,500,636,515,"Femenino","Biobío","Santiago","Valparaíso","Calle 20",999
"20688117-9","Diego Hernandez",512,527,473,592,456,565,462,"Masculino","Metropolitana","Osorno","Lago Verde","Calle 15",918
"13267565-7","Mariana Diaz",581,482,511,559,569,576,595,"Masculino","Metropolitana","Osorno","Valparaíso","Calle 112",33
"18443353-7","Ana Diaz",513,501,505,479,539,597,471,"Masculino","Aconcagua","Concepción","Porvenir","Calle 73",759
"11351267-7","Francisca Martinez",483,533,500,450,528,621,472,"Masculino","Los Lagos","Santiago","Osorno","Calle 33",242
"22389913-1","Camila Garcia",517,452,575,535,500,607,618,"Femenino","Biobío","Osorno","Concepción","Calle 114",422
"13509949-1","Carlos Martinez",521,617,562,602,623,581,578,"Femenino","Los Lagos","Santiago","Osorno","Calle 134",914
"24631901-9","Sofia Gonzalez",580,499,615,643,526,539,528,"Masculino","Santiago","Concepción","Lago Verde","Calle 86",152
"23491424-7","Mariana Gonzalez",618,643,637,460,645,490,645,"Femenino","Aconcagua","Santiago","Porvenir","Calle 51",9
"13988062-3","Camila Martinez",649,485,591,554,539,523,600,"Femenino","Biobío","Osorno","Lago Verde","Calle 97",185
"13279678-6","Francisca Larrahona",488,534,578,482,636,642,505,"Femenino","Los Lagos","Concepción","Valparaíso","Calle 40",22
"11861777-0","Luis Hernandez",489,535,596,514,642,559,511,"Masculino","Biobío","Concepción","Lago Verde","Calle 42",925
"11563885-0","Sofia Lopez",581,631,503,638,615,650,620,"Masculino","Santiago","Porvenir","Valparaíso","Calle 20",371
"10323478-1","Luis Osorio",535,601,522,490,501,587,490,"Masculino","Santiago","Osorno","Lago Verde","Calle 52",125
"14016061-5","Javier Larrahona",502,508,506,647,483,517,643,"Masculino","Biobío","Concepción","Porvenir","Calle 15",143
"19915179-9","Mariana Diaz",537,624,533,594,490,556,486,"Femenino","Los Lagos","Santiago","Valparaíso","Calle 2",679
"23824980-8","Camila Hernandez",634,576,482,533,552,473,650,"Masculino","Aconcagua","Concepción","Concepción","Calle 17",925
"16653078-0","Carlos Diaz",608,532,554,471,602,456,476,"Femenino","Santiago","Santiago","Porvenir","Calle 31",419
"11089961-8","Victor Larrahona",601,494,582,556,603,527,461,"Masculino","Aconcagua","Porvenir","Lago Verde","Calle 118",298
"18307911-9","Sofia Larrahona",601,602,554,551,604,627,515,"Femenino","Santiago","Osorno","Santiago Centro","Calle 129",129
"15439297-2","Camila Gonzalez",588,483,617,627,571,643,551,"Femenino","Metropolitana","Concepción","Osorno","Calle 46",538
"20915013-1","Luis Osorio",604,454,646,608,498,600,624,"Masculino","Santiago","Concepción","Lago Verde","Calle 147",7
"16739072-9","Francisca Osorio",556,530,607,592,458,553,465,"Femenino","Biobío","Osorno","Osorno","Calle 95",445
"18166629-9","Carlos Perez",615,539,536,558,563,587,462,"Masculino","Aconcagua","Coquimbo","Santiago Centro","Calle 4",46
"12075086-5","Javier Gonzalez",549,455,483,544,630,494,595,"Masculino","Coquimbo","Coquimbo","Porvenir","Calle 101",498
"21094290-1","Javier Larrahona",450,555,479,629,639,631,519,"Masculino","Los Lagos","Coquimbo","Concepción","Calle 49",365
"13945442-6","Camila Larrahona",628,640,541,639,502,617,558,"Femenino","Coquimbo","Valparaíso","Lago Verde","Calle 19",836
"13515572-0","Mariana Hernandez",612,568,594,531,575,642,470,"Masculino","Coquimbo","Concepción","Osorno","Calle 114",358
"23138563-4","Victor Rodriguez",576,624,621,472,607,592,561,"Masculino","Metropolitana","Santiago","Valparaíso","Calle 21",686
"22314193-1","Victor Gonzalez",467,527,477,496,481,536,533,"Femenino","Metropolitana","Valparaíso","Concepción","Calle 147",501
"13223808-6","Mariana Osorio",457,615,626,493,638,499,597,"Femenino","Santiago","Santiago","Porvenir","Calle 43",593
"16859302-0","Ana Osorio",497,523,650,621,486,480,591,"Femenino","Aconcagua","Porvenir","Osorno","Calle 35",433
"14093566-6","Ana Larrahona",549,616,464,593,592,506,506,"Masculino","Biobío","Coquimbo","Lago Verde","Calle 79",994
"22070450-0","Javier Hernandez",571,641,502,629,576,606,645,"Masculino","Metropolitana","Valparaíso","Lago Verde","Calle 136",77
"19195601-2","Francisca Gonzalez",483,459,630,453,521,554,466,"Masculino","Los Lagos","Porvenir","Valparaíso","Calle 78",357
"14548196-6","Camila Hernandez",595,621,633,620,632,505,598,"Femenino","Aconcagua","Valparaíso","Lago Verde","Calle 92",151
"17779476-1","Javier Diaz",575,574,647,625,526,616,534,"Masculino","Biobío","Concepción","Concepción","Calle 5",744
"23941883-7","Sofia Hernandez",545,520,582,538,609,630,592,"Masculino","Coquimbo","Coquimbo","Porvenir","Calle 9",887
"20097709-4","Luis Lopez",566,516,606,583,636,576,613,"Femenino","Aconcagua","Valparaíso","Porvenir","Calle 73",622
"22066381-9","Francisca Rodriguez",571,620,481,482,581,600,496,"Femenino","Metropolitana","Porvenir","Valparaíso","Calle 110",15
"17235219-8","Diego Martinez",542,628,507,488,546,597,558,"Masculino","Aconcagua","Porvenir","Santiago Centro","Calle 85",791
"15897176-1","Carlos Rodriguez",621,599,482,460,582,552,465,"Femenino","Aconcagua","Porvenir","Lago Verde","Calle 42",373
"12837269-0","Diego Perez",594,506,599,558,553,452,612,"Masculino","Metropolitana","Concepción","Porvenir","Calle 127",749
"23393894-2","Javier Hernandez",640,547,564,466,501,639,458,"Femenino","Biobío","Concepción","Osorno","Calle 99",874
"14250573-1","Sofia Perez",551,608,515,523,500,451,536,"Masculino","Biobío","Coquimbo","Santiago Centro","Calle 59",246
"10243978-9","Carlos Perez",464,544,504,595,467,474,558,"Femenino","Biobío","Coquimbo","Porvenir","Calle 33",179
"10834943-1","Javier Larrahona",577,556,582,545,528,576,646,"Femenino","Aconcagua","Osorno","Valparaíso","Calle 89",90
"24588871-3","Ana Larrahona",630,460,594,597,488,491,453,"Masculino","Metropolitana","Santiago","Valparaíso","Calle 108",218
"18661163-5","Victor Larrahona",470,476,508,450,464,568,648,"Femenino","Metropolitana","Porvenir","Valparaíso","Calle 43",964
"16577859-4","Camila Garcia",472,580,586,465,578,628,506,"Femenino","Metropolitana","Valparaíso","Concepción","Calle 2",779
"13550781-6","Diego Martinez",622,619,578,493,647,637,613,"Femenino","Los Lagos","Coquimbo","Lago Verde","Calle 144",165
"18128665-9","Mariana Martinez",510,591,452,609,565,537,490,"Masculino","Biobío","Valparaíso","Concepción","Calle 12",55
"24243745-1","Camila Martinez",593,626,588,596,523,601,549,"Femenino","Los Lagos","Valparaíso","Santiago Centro","Calle 20",120
"23311439-9","Ana Martinez",484,547,460,601,468,639,463,"Femenino","Aconcagua","Valparaíso","Santiago Centro","Calle 66",937
"23755468-4","Sofia Perez",500,590,626,454,461,623,497,"Femenino","Metropolitana","Osorno","Concepción","Calle 34",802
"21517888-5","Sofia Osorio",490,464,607,576,475,503,554,"Masculino","Santiago","Santiago","Lago Verde","Calle 73",319
"19262005-9","Javier Gonzalez",560,644,550,478,471,585,593,"Masculino","Aconcagua","Osorno","Lago Verde","Calle 99",642
"20316383-7","Victor Larrahona",576,575,478,532,597,639,561,"Femenino","Los Lagos","Osorno","Concepción","Calle 113",454
"17017450-6","Luis Hernandez",487,479,617,614,501,547,551,"Femenino","Los Lagos","Osorno","Concepción","Calle 110",940
"18464260-0","Victor Perez",606,596,592,464,470,578,629,"Masculino","Metropolitana","Concepción","Osorno","Calle 25",228
"13164251-1","Sofia Diaz",522,620,592,458,573,485,457,"Masculino","Metropolitana","Valparaíso","Porvenir","Calle 51",609
"23820533-1","Luis Hernandez",567,648,595,552,464,485,597,"Femenino","Biobío","Coquimbo","Lago Verde","Calle 27",650
"21107993-8","Victor Martinez",596,476,576,598,500,475,513,"Masculino","Los Lagos","Osorno","Lago Verde","Calle 82",189
"11927386-0","Ana Hernandez",568,611,563,542,473,504,607,"Masculino","Los Lagos","Santiago","Santiago Centro","Calle 146",691
"13920972-6","Sofia Diaz",543,608,503,455,608,580,489,"Femenino","Metropolitana","Santiago","Santiago Centro","Calle 92",152
"22601739-0","Camila Diaz",494,465,483,578,645,515,538,"Masculino","Aconcagua","Santiago","Lago Verde","Calle 40",805
"11520422-7","Sofia Larrahona",541,577,616,475,634,535,455,"Masculino","Aconcagua","Concepción","Porvenir","Calle 18",740
"16535602-2","Mariana Perez",561,613,478,596,541,525,558,"Masculino","Aconcagua","Osorno","Valparaíso","Calle 67",356
"17793431-9","Victor Lopez",613,589,648,592,465,563,595,"Femenino","Aconcagua","Santiago","Santiago Centro","Calle 95",971
"20896838-8","Camila Gonzalez",509,456,504,492,462,550,578,"Masculino","Los Lagos","Valparaíso","Concepción","Calle 47",913
"10479249-4","Luis Perez",459,473,544,463,498,454,528,"Masculino","Los Lagos","Santiago","Lago Verde","Calle 11",420
"14528857-0","Camila Diaz",501,642,522,624,621,565,496,"Masculino","Coquimbo","Valparaíso","Santiago Centro","Calle 47",825
"19224453-9","Ana Perez",537,599,567,543,593,568,582,"Masculino","Aconcagua","Santiago","Concepción","Calle 146",69
"13471907-3","Ana Lopez",597,641,644,628,510,468,497,"Femenino","Coquimbo","Concepción","Santiago Centro","Calle 147",541
"20148375-9","Luis Lopez",500,573,557,620,572,613,496,"Masculino","Metropolitana","Valparaíso","Valparaíso","Calle 29",526
"18437252-0","Victor Larrahona",610,519,532,565,501,452,648,"Femenino","Aconcagua","Porvenir","Concepción","Calle 57",859
"22062266-1","Victor Garcia",607,494,468,616,491,627,532,"Masculino","Biobío","Valparaíso","Lago Verde","Calle 110",61
"18766483-4","Ana Garcia",646,474,518,618,595,598,566,"Masculino","Metropolitana","Valparaíso","Concepción","Calle 137",442
"15299537-7","Victor Garcia",465,532,569,608,564,497,465,"Masculino","Coquimbo","Santiago","Porvenir","Calle 120",492
"17504908-8","Luis Perez",483,462,536,567,479,585,632,"Femenino","Los Lagos","Valparaíso","Concepción","Calle 60",738
"24436845-3","Sofia Martinez",503,647,581,528,555,502,496,"Femenino","Biobío","Osorno","Concepción","Calle 41",125
"11460673-9","Sofia Gonzalez",636,621,490,484,648,598,650,"Masculino","Aconcagua","Concepción","Osorno","Calle 122",607
"17011595-5","Victor Larrahona",469,461,538,631,511,616,476,"Masculino","Coquimbo","Valparaíso","Concepción","Calle 50",851
"22615140-7","Mariana Garcia",609,579,573,485,508,565,465,"Femenino","Santiago","Santiago","Porvenir","Calle 134",919
"19820400-0","Victor Diaz",518,561,454,591,636,567,504,"Masculino","Biobío","Valparaíso","Porvenir","Calle 29",487
"16579875-7","Sofia Rodriguez",497,628,581,608,524,624,622,"Femenino","Los Lagos","Osorno","Valparaíso","Calle 98",249
"19308580-3","Diego Larrahona",461,525,626,525,632,620,549,"Femenino","Los Lagos","Santiago","Porvenir","Calle 131",886
"19594812-0","Luis Osorio",504,552,583,533,564,510,644,"Masculino","Biobío","Porvenir","Osorno","Calle 50",314
"21714328-6","Victor Garcia",479,568,634,566,481,646,610,"Masculino","Metropolitana","Coquimbo","Lago Verde","Calle 26",273
"13214709-1","Diego Gonzalez",496,616,577,512,497,521,583,"Masculino","Santiago","Porvenir","Valparaíso","Calle 76",773
"23631592-6","Luis Perez",450,608,552,545,552,613,595,"Masculino","Santiago","Coquimbo","Valparaíso","Calle 95",172
"22103036-6","Mariana Diaz",589,631,510,588,478,568,511,"Masculino","Metropolitana","Porvenir","Osorno","Calle 28",39
"13519178-3","Camila Martinez",521,630,574,575,619,553,511,"Femenino","Metropolitana","Osorno","Santiago Centro","Calle 13",566
"19620378-7","Diego Lopez",523,459,532,621,579,558,563,"Femenino","Coquimbo","Osorno","Lago Verde","Calle 13",360
"16791420-0","Ana Garcia",570,456,485,574,478,516,558,"Masculino","Biobío","Concepción","Porvenir","Calle 25",675
"16336251-8","Javier Hernandez",584,527,498,589,495,519,607,"Femenino","Santiago","Coquimbo","Lago Verde","Calle 146",627
"11106876-9","Javier Garcia",587,582,482,589,482,613,565,"Femenino","Metropolitana","Santiago","Lago Verde","Calle 72",728
"15746478-5","Diego Hernandez",543,586,631,533,622,532,544,"Femenino","Aconcagua","Santiago","Concepción","Calle 128",207
"21349400-6","Diego Martinez",629,629,466,622,452,637,504,"Femenino","Santiago","Coquimbo","Valparaíso","Calle 20",746
"18088522-7","Francisca Gonzalez",647,538,600,457,465,475,545,"Masculino","Biobío","Osorno","Concepción","Calle 12",248
"19537871-8","Carlos Rodriguez",454,620,512,566,650,489,470,"Femenino","Coquimbo","Osorno","Concepción","Calle 95",701
"18751695-7","Javier Perez",538,516,451,477,513,596,499,"Masculino","Los Lagos","Coquimbo","Concepción","Calle 23",778
"17744808-7","Luis Martinez",456,541,540,517,532,595,581,"Femenino","Los Lagos","Valparaíso","Osorno","Calle 145",599
"20737835-1","Javier Diaz",557,466,521,647,575,603,581,"Femenino","Santiago","Osorno","Osorno","Calle 53",398
"18116900-8","Camila Lopez",517,586,514,465,564,565,603,"Femenino","Aconcagua","Porvenir","Lago Verde","Calle 78",914
"18275142-1","Camila Rodriguez",615,590,510,567,501,620,562,"Masculino","Los Lagos","Osorno","Osorno","Calle 87",299
"23134860-0","Mariana Garcia",550,650,523,529,521,509,613,"Femenino","Santiago","Concepción","Santiago Centro","Calle 115",66
"12220594-9","Francisca Lopez",529,603,453,622,549,491,583,"Femenino","Aconcagua","Valparaíso","Lago Verde","Calle 77",371
"18201340-1","Carlos Perez",490,618,509,644,545,464,521,"Masculino","Biobío","Santiago","Porvenir","Calle 107",502
"22796873-8","Mariana Martinez",502,529,479,466,596,541,485,"Femenino","Santiago","Porvenir","Porvenir","Calle 74",129
"22728887-6","Carlos Lopez",576,525,616,514,632,528,608,"Femenino","Los Lagos","Osorno","Lago Verde","Calle 94",72
"11611189-1","Francisca Rodriguez",517,571,537,624,520,594,498,"Femenino","Santiago","Valparaíso","Concepción","Calle 128",497
"24547462-5","Victor Osorio",494,518,610,488,610,621,632,"Femenino","Los Lagos","Coquimbo","Lago Verde","Calle 93",344
"13341997-1","Sofia Hernandez",465,574,473,470,493,457,621,"Masculino","Metropolitana","Coquimbo","Lago Verde","Calle 98",761
"21890586-0","Camila Rodriguez",494,531,556,615,544,529,593,"Masculino","Aconcagua","Valparaíso","Porvenir","Calle 58",999
"12903876-6","Carlos Perez",548,588,622,594,472,530,634,"Masculino","Aconcagua","Osorno","Santiago Centro","Calle 123",918
"15929519-8","Francisca Osorio",455,644,573,564,476,611,573,"Masculino","Biobío","Osorno","Santiago Centro","Calle 86",853
"23881385-0","Victor Garcia",466,519,512,620,625,546,542,"Masculino","Biobío","Coquimbo","Osorno","Calle 138",330
"14656997-8","Sofia Perez",567,492,505,507,596,596,529,"Femenino","Metropolitana","Concepción","Osorno","Calle 104",791
"22593159-2","Javier Gonzalez",564,608,518,530,617,540,562,"Femenino","Los Lagos","Concepción","Porvenir","Calle 74",580
"17194985-4","Diego Garcia",503,467,634,499,573,599,470,"Masculino","Aconcagua","Porvenir","Porvenir","Calle 112",876
"23235853-0","Javier Larrahona",544,499,647,631,643,490,585,"Femenino","Metropolitana","Coquimbo","Lago Verde","Calle 123",410
"14960176-4","Mariana Perez",600,617,509,573,460,477,524,"Masculino","Santiago","Osorno","Valparaíso","Calle 78",744
"23210473-6","Camila Garcia",647,547,584,539,458,483,557,"Femenino","Los Lagos","Concepción","Porvenir","Calle 111",88
"23146995-2","Camila Rodriguez",479,606,574,544,482,607,594,"Femenino","Aconcagua","Concepción","Valparaíso","Calle 13",755
"12317663-0","Francisca Martinez",587,549,590,534,512,516,451,"Masculino","Los Lagos","Valparaíso","Santiago Centro","Calle 58",469
"15668807-8","Camila Rodriguez",533,588,462,563,614,642,577,"Femenino","Biobío","Valparaíso","Porvenir","Calle 16",641
"13564754-6","Ana Rodriguez",534,584,458,518,571,572,538,"Femenino","Metropolitana","Osorno","Valparaíso","Calle 117",800
"13415060-3","Javier Gonzalez",644,467,500,583,550,488,567,"Masculino","Santiago","Coquimbo","Porvenir","Calle 89",553
"11303845-9","Luis Lopez",491,612,574,638,459,618,458,"Masculino","Coquimbo","Valparaíso","Concepción","Calle 100",618
"13262151-9","Mariana Osorio",499,507,452,588,502,626,554,"Femenino","Los Lagos","Osorno","Osorno","Calle 33",283
"12440541-4","Luis Perez",627,473,526,493,608,460,558,"Femenino","Santiago","Concepción","Valparaíso","Calle 136",935
"20200410-5","Diego Hernandez",475,531,608,619,519,612,587,"Femenino","Los Lagos","Concepción","Concepción","Calle 54",749
"10512784-9","Diego Diaz",646,557,535,532,475,545,451,"Masculino","Aconcagua","Coquimbo","Santiago Centro","Calle 2",186
"12576218-7","Mariana Rodriguez",570,534,556,463,613,622,644,"Masculino","Los Lagos","Coquimbo","Lago Verde","Calle 126",752
"18116111-6","Carlos Martinez",537,500,634,452,601,560,606,"Masculino","Coquimbo","Porvenir","Lago Verde","Calle 21",977
"16334838-9","Javier Garcia",496,513,469,466,564,491,534,"Femenino","Metropolitana","Porvenir","Santiago Centro","Calle 41",500
"22326830-7","Diego Osorio",592,556,578,614,495,575,512,"Masculino","Coquimbo","Santiago","Lago Verde","Calle 73",83
"18041478-2","Diego Larrahona",643,538,534,568,533,462,544,"Femenino","Coquimbo","Concepción","Porvenir","Calle 148",196
"14437038-2","Mariana Gonzalez",640,480,481,588,536,527,528,"Masculino","Los Lagos","Valparaíso","Porvenir","Calle 64",51
"20391045-0","Camila Hernandez",518,648,624,496,518,455,519,"Femenino","Los Lagos","Valparaíso","Lago Verde","Calle 45",781
"11547298-2","Sofia Martinez",594,555,649,562,534,538,612,"Masculino","Metropolitana","Osorno","Concepción","Calle 74",67
"22460032-0","Sofia Garcia",519,496,541,511,583,592,471,"Masculino","Los Lagos","Osorno","Concepción","Calle 31",914
"11160648-8","Luis Gonzalez",478,565,473,642,572,537,465,"Femenino","Metropolitana","Porvenir","Valparaíso","Calle 127",854
"16211920-8","Mariana Lopez",511,579,488,461,536,613,505,"Femenino","Santiago","Coquimbo","Lago Verde","Calle 117",991
"12667879-7","Ana Gonzalez",479,575,626,592,588,600,485,"Femenino","Biobío","Coquimbo","Lago Verde","Calle 57",281
"17329758-2","Francisca Osorio",646,579,511,530,473,640,634,"Masculino","Los Lagos","Porvenir","Osorno","Calle 84",527
"12838545-1","Camila Larrahona",581,627,630,456,627,642,600,"Masculino","Coquimbo","Osorno","Valparaíso","Calle 74",547
"21624949-8","Diego Lopez",463,647,573,477,603,614,631,"Femenino","Coquimbo","Valparaíso","Santiago Centro","Calle 64",252
"19137162-0","Ana Diaz",635,587,528,538,528,622,568,"Masculino","Aconcagua","Valparaíso","Lago Verde","Calle 56",24
"12580153-1","Camila Rodriguez",598,487,577,585,545,514,580,"Masculino","Los Lagos","Concepción","Osorno","Calle 40",914
"12270096-6","Diego Hernandez",563,618,497,491,584,590,618,"Masculino","Los Lagos","Coquimbo","Valparaíso","Calle 111",769
"15134292-9","Sofia Hernandez",519,532,515,460,450,594,587,"Femenino","Biobío","Concepción","Concepción","Calle 93",445
"12908436-6","Javier Rodriguez",551,542,595,499,625,580,572,"Femenino","Santiago","Osorno","Concepción","Calle 80",184
"23152116-1","Ana Garcia",602,582,477,573,625,564,634,"Femenino","Biobío","Santiago","Lago Verde","Calle 64",937
"11605591-9","Victor Rodriguez",625,634,640,517,543,513,450,"Masculino","Coquimbo","Coquimbo","Valparaíso","Calle 92",558
"16989469-9","Victor Gonzalez",512,617,637,547,507,467,635,"Masculino","Santiago","Coquimbo","Lago Verde","Calle 83",46
"22603417-3","Mariana Rodriguez",611,527,479,474,574,466,502,"Masculino","Los Lagos","Porvenir","Concepción","Calle 150",141
"12823974-5","Diego Rodriguez",476,523,613,521,589,546,646,"Masculino","Santiago","Santiago","Porvenir","Calle 9",90
